Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,4e-06,,,Sample Interval,4e-06
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,2,,,Vertical Scale,1
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1-CH2>"
-1.9020e-02,-1.365,1.40469,,-1.9020e-02,-2.77156
-1.9016e-02,-1.36656,1.405,,-1.9016e-02,-2.77219
-1.9012e-02,-1.36406,1.40781,,-1.9012e-02,-2.77188
-1.9008e-02,-1.36187,1.40656,,-1.9008e-02,-2.77031
-1.9004e-02,-1.36344,1.405,,-1.9004e-02,-2.77062
-1.9000e-02,-1.36656,1.405,,-1.9000e-02,-2.77
-1.8996e-02,-1.36563,1.405,,-1.8996e-02,-2.77094
-1.8992e-02,-1.36344,1.40406,,-1.8992e-02,-2.76969
-1.8988e-02,-1.36594,1.40094,,-1.8988e-02,-2.76906
-1.8984e-02,-1.36813,1.40375,,-1.8984e-02,-2.77219
-1.8980e-02,-1.36406,1.405,,-1.8980e-02,-2.77406
-1.8976e-02,-1.36312,1.40469,,-1.8976e-02,-2.77219
-1.8972e-02,-1.36344,1.40312,,-1.8972e-02,-2.77438
-1.8968e-02,-1.3625,1.40375,,-1.8968e-02,-2.77469
-1.8964e-02,-1.365,1.4025,,-1.8964e-02,-2.77969
-1.8960e-02,-1.36406,1.405,,-1.8960e-02,-2.77469
-1.8956e-02,-1.36344,1.40406,,-1.8956e-02,-2.77375
-1.8952e-02,-1.36563,1.40156,,-1.8952e-02,-2.76906
-1.8948e-02,-1.36844,1.4025,,-1.8948e-02,-2.77125
-1.8944e-02,-1.3675,1.40219,,-1.8944e-02,-2.76969
-1.8940e-02,-1.36813,1.4025,,-1.8940e-02,-2.76562
-1.8936e-02,-1.3675,1.40219,,-1.8936e-02,-2.7675
-1.8932e-02,-1.36719,1.40469,,-1.8932e-02,-2.76844
-1.8928e-02,-1.36594,1.40375,,-1.8928e-02,-2.77219
-1.8924e-02,-1.36719,1.40312,,-1.8924e-02,-2.77219
